TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MWET4;34,87;;2,38;-0,40;0,38;12,01;31,41;19,02;1,44;2,39;0,90;;0,45;-0,91;-0,52;0,40;-16,76;15,83;-29,76;-0,94;1,95;0,83;-0,73;;438.646,59;-87,29;14,63;-0,01;70.260.222,42
MYPK3;15,49;;-5,30;0,62;0,17;8,18;-0,49;-4,65;-50,52;-136,53;-86,08;1,06;0,25;-27,97;-0,31;0,99;-11,71;-3,29;-1,34;0,28;0,70;0,71;5,05;;28.964.695,22;24,97;-2,92;0,02;2.402.637.363,63
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;33,76;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;33,76;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;41,33;33,05;-0,10;0,00;6,22;6,22;52,52;0,00;0,00;0,00;2,08;-2,67;-0,03;11,38;0,01;0,96;0,31;24,40;;;7,32;-0,20;0,00;0,00
NEMO5;52,97;;-271,37;7,23;0,09;41,33;33,05;-0,10;0,86;6,22;6,22;52,52;0,28;0,94;-0,11;2,08;-2,67;-0,03;11,38;0,01;0,96;0,31;24,40;;;7,32;-0,20;2,74;0,00
NEMO6;0,00;;0,00;0,00;0,00;41,33;33,05;-0,10;0,00;6,22;6,22;52,52;0,00;0,00;0,00;2,08;-2,67;-0,03;11,38;0,01;0,96;0,31;24,40;;;7,32;-0,20;0,00;0,00
NEOE3;17,19;3,06;6,44;0,95;0,29;23,97;16,39;9,51;3,74;8,52;4,79;1,22;0,61;5,67;-0,36;1,33;14,80;4,48;8,38;0,30;0,69;0,47;16,97;50,84;34.782.600,41;18,03;2,67;0,16;20.950.140.500,48
NGRD3;6,98;0,18;105,56;3,60;2,42;65,05;16,52;7,16;45,77;39,09;-6,55;-0,52;7,56;5,10;-6,12;4,63;3,41;2,29;4,19;0,67;0,33;0,32;;;22.483.304,04;1,94;0,07;1,78;1.663.476.440,10
NINJ3;21,00;;-198,55;36,59;22,33;92,19;-19,85;-20,32;-203,26;-196,31;6,95;-1,25;40,34;38,07;-927,63;2,51;-18,43;-11,25;-18,00;0,61;0,39;0,55;;;7.664.269,52;0,57;-0,11;;1.049.694.411,70
NORD3;18,40;;-137,98;-0,87;7,04;90,78;106,82;-54,27;70,10;91,54;21,44;;74,88;-2,61;-7,58;0,03;-0,63;-5,10;-1,69;-8,10;9,10;0,09;;;17.335,20;-21,18;-0,13;0,00;121.835.342,40
NRTQ3;0,00;;0,00;0,00;0,00;32,92;22,00;14,48;0,00;-0,40;-0,40;-0,13;0,00;0,00;0,00;2,65;20,75;13,56;21,50;0,65;0,35;0,94;9,55;6,53;;13,79;2,86;0,00;0,00
NTCO3;60,10;;5.361,39;2,88;1,34;64,81;3,67;0,04;58,07;63,13;5,22;0,26;2,13;30,27;-1,88;1,18;0,05;0,02;2,70;0,46;0,54;0,63;36,13;;413.277.045,37;20,84;0,01;-52,42;82.709.404.282,56
NUTR3;260,00;;10,87;1,99;0,48;17,63;6,76;3,59;5,78;7,16;1,38;0,48;0,39;1,46;-1,11;2,31;18,34;4,37;19,60;0,24;0,76;1,22;16,61;;26.000,00;130,45;23,92;-0,12;33.265.440,00
ODER4;1,60;10,47;0,14;0,06;0,03;34,42;24,97;20,84;0,12;0,68;0,56;0,29;0,03;0,08;-0,12;1,89;42,76;20,98;22,45;0,49;0,51;1,01;8,36;;37.500,00;26,23;11,22;0,00;18.059.369,60
ODPV3;12,60;6,07;16,96;5,17;3,29;61,88;32,09;22,40;11,84;10,34;-1,50;-0,65;3,80;12,15;-7,22;1,99;30,46;19,42;29,87;0,64;0,36;0,87;7,15;10,22;11.484.490,78;2,44;0,74;0,34;6.689.001.431,28
OFSA3;34,66;1,77;18,45;3,27;1,68;51,58;15,28;12,88;15,55;16,81;1,26;0,27;2,38;4,29;-4,32;2,80;17,75;9,13;11,73;0,51;0,49;0,71;6,45;5,33;1.283.195,96;10,59;1,88;0,18;1.869.333.057,90
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;1,53;;-1,25;1,93;0,13;18,92;-27,40;-107,58;-4,91;-18,55;-13,61;5,34;1,34;0,77;-0,24;1,51;-154,18;-10,09;-16,28;0,07;0,94;0,09;-19,43;;104.299.901,07;0,79;-1,22;0,02;9.221.919.992,64
OIBR4;2,22;;-1,81;2,80;0,18;18,92;-27,40;-107,58;-7,12;-18,55;-13,61;5,34;1,95;1,12;-0,35;1,51;-154,18;-10,09;-16,28;0,07;0,94;0,09;-19,43;;3.464.632,00;0,79;-1,22;0,03;9.221.919.992,64
OMGE3;37,64;;672,63;2,03;0,67;39,64;43,24;0,86;13,35;22,63;9,32;1,42;5,77;5,77;-0,80;3,14;0,30;0,10;4,84;0,33;0,66;0,12;50,40;62,86;23.925.909,44;18,56;0,06;-0,36;7.385.573.683,05
OPCT3;8,53;;-70,92;1,86;0,89;15,61;6,23;-3,78;42,99;42,68;-0,31;-0,01;2,68;2,44;-1,87;3,35;-2,62;-1,26;1,42;0,48;0,52;0,33;;;4.788.653,74;4,59;-0,12;-0,36;1.701.655.804,54
ORVR3;29,65;;-48,28;5,69;2,06;36,44;15,18;-11,31;35,96;35,91;-0,02;0,00;5,46;7,53;-4,08;2,24;-11,78;-4,27;4,93;0,36;0,62;0,38;;;10.116.125,85;5,21;-0,61;-0,10;2.111.346.613,50
OSXB3;10,26;;-0,04;-0,01;0,02;96,20;-4.680,14;-6.925,42;-0,05;-7,78;-7,72;;2,57;-0,06;-0,02;0,03;-15,68;-58,41;60,57;-3,73;4,73;0,01;-44,40;;385.245,07;-1.763,25;-276,42;0,00;32.267.389,50
PARD3;20,47;1,63;16,67;3,55;1,35;27,99;15,19;9,67;10,62;11,11;0,49;0,16;1,61;7,77;-2,38;1,67;21,29;8,10;16,77;0,38;0,62;0,84;14,12;8,50;7.466.671,78;5,77;1,23;1,52;2.678.512.267,75
PATI3;102,50;2,49;10,77;2,73;1,25;20,71;15,29;9,91;6,98;7,12;0,16;0,06;1,07;2,46;-7,29;2,60;25,34;11,63;16,91;0,46;0,54;1,17;17,73;75,16;36.191,07;37,56;9,52;0,15;1.868.503.141,50
PATI4;97,20;5,32;10,21;2,59;1,19;20,71;15,29;9,91;6,62;7,12;0,16;0,06;1,01;2,33;-6,92;2,60;25,34;11,63;16,91;0,46;0,54;1,17;17,73;75,16;22.927,63;37,56;9,52;0,15;1.868.503.141,50
PCAR3;37,23;5,85;4,13;0,71;0,20;29,16;6,00;5,50;3,79;5,62;1,83;0,35;0,23;-4,82;-0,28;0,87;17,29;4,84;7,96;0,28;0,66;0,88;6,62;;124.373.805,04;52,09;9,01;0,01;10.051.320.256,74
PCAR4;72,11;;8,01;1,38;0,39;29,16;6,00;5,50;7,34;5,62;1,83;0,35;0,44;-9,34;-0,53;0,87;17,29;4,84;7,96;0,28;0,66;0,88;6,62;;;52,09;9,01;0,02;10.051.320.256,74
PDGR3;5,61;;-0,63;-0,06;0,19;34,05;-130,63;-196,66;-0,95;-4,42;-3,47;;1,24;-0,14;-0,88;0,36;-9,03;-30,18;10,00;-3,34;4,38;0,15;-35,22;;1.620.141,59;-98,67;-8,91;0,02;314.908.693,77
PDTC3;6,31;;28,76;4,81;1,31;36,43;10,49;10,17;27,88;28,98;1,19;0,21;2,92;3,80;-5,72;1,82;16,71;4,57;9,30;0,27;0,73;0,45;173,12;;2.150.367,26;1,31;0,22;0,13;499.725.092,23
PEAB3;72,00;42,15;1,94;1,63;1,47;36,48;739,71;494,78;1,30;0,86;-0,36;-0,46;9,59;3,42;-2,67;24,55;84,06;75,91;81,61;0,90;0,10;0,15;-8,83;78,06;19.205,17;44,18;37,13;0,00;880.244.043,00
PEAB4;64,01;52,15;1,72;1,45;1,31;36,48;739,71;494,78;1,15;0,86;-0,36;-0,46;8,53;3,04;-2,37;24,55;84,06;75,91;81,61;0,90;0,10;0,15;-8,83;78,06;17.027,17;44,18;37,13;0,00;880.244.043,00
PETR3;28,18;3,66;6,47;1,17;0,37;48,23;45,61;20,09;2,85;5,40;2,58;1,06;1,30;12,46;-0,44;1,24;18,12;5,69;16,06;0,31;0,68;0,28;-3,29;;627.788.983,04;24,03;4,35;-0,01;365.516.319.132,28
PETR4;27,43;2,89;6,30;1,14;0,36;48,23;45,61;20,09;2,77;5,40;2,58;1,06;1,27;12,13;-0,42;1,24;18,12;5,69;16,06;0,31;0,68;0,28;-3,29;;1.931.924.603,30;24,03;4,35;-0,01;365.516.319.132,28
PETZ3;24,44;0,21;191,49;17,69;4,93;48,33;7,51;3,16;80,56;81,60;0,31;0,07;6,05;54,09;-8,78;1,26;9,24;2,58;11,37;0,28;0,72;0,82;;;70.110.075,81;1,38;0,13;8,09;9.648.844.439,02
PFRM3;6,16;;12,62;0,72;0,19;13,96;2,05;1,08;6,67;9,86;3,19;0,35;0,14;0,90;-0,58;1,43;5,73;1,47;4,10;0,26;0,65;1,35;9,61;;3.088.460,26;8,52;0,49;0,07;770.115.448,06
PGMN3;11,44;;38,76;2,57;0,88;31,30;5,08;1,88;14,33;15,33;1,00;0,18;0,73;3,95;-1,99;1,67;6,63;2,28;12,33;0,34;0,66;1,21;8,17;25,42;13.067.969,56;4,45;0,30;0,17;5.085.730.970,52
PINE3;0,00;;0,00;0,00;0,00;20,27;-11,41;-8,79;0,00;-2,69;;;0,00;0,00;0,00;0,64;-8,11;-0,42;;0,05;0,95;0,05;4,73;;;5,06;-0,41;0,00;214.836.569,12
PINE4;2,93;;-7,14;0,58;0,03;20,27;-11,41;-8,79;-5,50;-2,69;;;0,63;-0,20;-0,04;0,64;-8,11;-0,42;;0,05;0,95;0,05;4,73;;2.536.983,67;5,06;-0,41;0,34;214.836.569,12
PLAS3;16,50;;-1,96;-1,01;0,33;1,15;-18,61;-24,90;-2,62;-4,50;-1,88;;0,49;-1,58;-0,48;0,60;-51,39;-16,81;352,56;-0,33;1,33;0,68;-5,14;;267.622,11;-16,37;-8,41;0,00;205.019.397,00
PLPL3;6,06;3,23;7,65;4,42;1,06;35,67;17,84;15,93;6,83;7,36;0,51;0,33;1,22;1,32;-36,55;5,68;57,76;13,83;24,53;0,24;0,76;0,87;;;11.909.618,89;1,37;0,79;0,11;1.258.216.960,00
PMAM3;15,15;;-0,95;-1,11;0,18;1,42;-6,18;-14,80;-2,27;-12,77;-10,51;;0,14;-0,26;-0,31;0,38;-116,86;-18,89;-11,39;-0,16;1,16;1,28;-4,39;;7.320.640,70;-13,68;-15,99;-0,04;660.606.581,78
PNVL3;19,47;0,70;47,64;2,90;1,31;29,77;3,09;2,15;33,12;36,99;3,88;0,34;1,02;4,25;-3,61;1,94;6,09;2,75;5,32;0,45;0,55;1,28;7,26;4,40;18.346.471,04;6,71;0,41;-2,32;2.954.366.309,70
PNVL4;19,56;0,76;47,86;2,92;1,31;29,77;3,09;2,15;33,27;36,99;3,88;0,34;1,03;4,27;-3,63;1,94;6,09;2,75;5,32;0,45;0,55;1,28;7,26;4,40;183.500,41;6,71;0,41;-2,33;2.954.366.309,70
