TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
RDPD11;63,30;7,77;0,64;46.420,93;26,22;-0,03;;106.549.724,70;770,00;Ativa;
RECR11;101,94;13,85;1,06;10.221.657,26;3,22;5,18;0,34;1.363.525.760,42;72.320,00;Ativa;
RECT11;77,88;10,59;0,84;1.778.414,85;2,39;;;761.087.076,66;73.544,00;Ativa;
TEPP11;76,53;7,49;0,81;517.585,89;1,07;;;398.937.744,50;8.012,00;Ativa;
TFOF11;138,00;0,00;1,14;;13,36;29,98;-52,64;103.080.374,68;3.278,00;Ativa;
TGAR11;130,00;10,76;1,02;5.725.386,74;63,51;12,14;;944.421.581,48;52.224,00;Ativa;
BBRC11;110,60;10,22;0,98;192.699,70;3,89;0,69;-5,96;179.216.421,68;8.833,00;Passiva;
CTXT11;23,22;10,38;0,48;19.542,63;0,68;-19,52;78,98;125.506.257,05;4.196,00;Passiva;
DAMT11B;0,00;0,00;;;0,00;;;104.806.726,66;51,00;Passiva;
VIFI11;86,35;8,67;0,88;518.327,48;1,32;;;277.055.966,59;4.348,00;Ativa;
VILG11;112,57;5,90;0,98;4.559.762,63;6,64;;;1.716.537.713,31;135.467,00;Ativa;
VINO11;58,95;8,28;0,99;2.209.114,89;3,52;;;758.552.977,13;77.055,00;Ativa;
VISC11;106,30;4,00;0,89;2.901.561,44;0,64;-15,53;1,22;1.704.682.134,90;194.012,00;Ativa;
FINF11;0,00;0,00;;;0,28;;;82.794.886,17;4,00;Ativa;
VIUR11;93,01;0,70;0,97;286.840,74;100,54;;;258.950.198,97;2.789,00;Ativa;
VJFD11;0,00;0,00;;;3,78;;;523.558.990,19;2,00;Ativa;
VSHO11;75,51;2,43;0,75;38.629,04;2,65;;;210.803.855,72;1.835,00;Ativa;
VSLH11;10,45;6,48;1,04;2.446.727,81;25,57;;;120.827.259,18;5.414,00;Ativa;
VTPL11;0,00;0,00;;;0,55;;;114.152.856,84;54,00;Passiva;
VTRT11;0,00;0,00;;;20,14;;;1.030.654.046,20;499,00;Ativa;
VTVI11;0,00;0,00;;;11,23;;;68.365.320,71;1,00;Ativa;
VTXI11;0,00;0,00;;;23,27;;;3.440.529,81;2,00;Ativa;
VVPR11;97,44;7,46;0,97;281.339,37;1,26;;;230.577.817,74;1.139,00;Ativa;
VXXV11;721,55;2,56;1,47;2.325.194,50;2,64;;;25.566.994,94;4,00;Ativa;
WPLZ11;60,00;0,17;0,57;19.494,00;0,74;22,10;0,10;106.880.016,87;1.946,00;Passiva;
YUFI11;0,00;0,00;;;6,75;;;37.614.094,39;10,00;Ativa;
BLMC11;104,98;1,81;1,03;5.054,40;5,97;;;40.627.519,23;25,00;Ativa;
HCRI11;401,96;8,67;1,33;63.505,96;0,56;6,52;8,02;60.619.598,18;3.213,00;Passiva;
AFCR11;110,70;11,36;1,06;174.612,15;1,62;;;124.200.760,61;1.665,00;Ativa;
AFHI11;91,00;1,21;0,94;629.836,41;42,02;;;172.745.111,59;3.311,00;Ativa;
JBFO11;93,17;1,40;0,96;127.579,67;0,14;;;124.428.658,13;342,00;Ativa;
BICE11;0,00;0,00;;;109,80;;;556.530,54;89,00;Ativa;
BREV11;115,99;4,47;1,10;229,17;6,90;;;98.402.688,55;76,00;Ativa;
HCHG11;0,00;0,00;;;211,93;;;7.080.570,14;213,00;Ativa;
CARE11;0,75;1,68;0,47;361.889,33;1,63;;-26,12;288.155.071,03;10.624,00;Ativa;
HFOF11;93,57;7,28;0,98;3.070.401,04;7,29;-11,70;1,95;2.051.533.076,21;67.670,00;Ativa;
HGBS11;198,60;2,88;0,90;1.786.607,56;0,32;-30,27;-0,32;2.195.761.211,36;82.260,00;Ativa;
KNSC11;100,28;7,49;1,05;4.589.818,67;3,86;;;613.319.321,47;19.030,00;Ativa;
LKDV11;0,00;0,00;;;33,04;;;21.864.755,75;57,00;Ativa;
ESTQ11;0,00;0,00;;;28,69;;;24.144.802,38;5,00;Ativa;
EVBI11;99,99;3,20;1,02;27.355,88;2,42;;;106.070.885,36;108,00;Ativa;
PATB11;0,00;0,00;;;6,57;;;503.044.621,15;59,00;Ativa;
PRTS11;117,70;0,00;1.307,78;;27,15;;;4.894.470,14;11,00;Ativa;
QAMI11;93,20;2,18;0,98;12.961,44;26,33;;;76.240.155,14;603,00;Ativa;
RBBV11;100,00;84,07;1,00;239.178,74;0,47;139,05;18,10;125.807.524,80;3.143,00;Passiva;
RBCB11;19,00;0,00;;;;-15,04;-56,76;0,00;462,00;Ativa;
RBED11;140,16;8,70;0,93;231.621,78;5,02;-5,62;-2,80;303.894.530,56;11.879,00;Ativa;
